,title,artist,lyrics,audio,text_arousal,text_valence,audio_arousal,audio_valence,arousal,valence
6xtcFXSo8H9BZN637BMVKS,Let You Love Me,Rita Ora,temp/temp_6xtcFXSo8H9BZN637BMVKS.txt,temp/temp_features_6xtcFXSo8H9BZN637BMVKS.csv,0.09995020746887966,0.14658921161825725,0.5902244316711527,0.6267137036670448,0.34508731957001615,0.386651457642651
6SkHm6poyKfzV6kc9any8k,Suncity (feat. Empress Of),Khalid,temp/temp_6SkHm6poyKfzV6kc9any8k.txt,temp/temp_features_6SkHm6poyKfzV6kc9any8k.csv,0.07362121212121212,0.11953636363636364,0.49630790966438865,0.5301530951914388,0.28496456089280037,0.32484472941390125
6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit,Lady Gaga,,temp/temp_features_6QfS2wq5sSC1xAJCQsTSlj.csv,,,0.5233498891459882,0.5829905770025255,0.5233498891459882,0.5829905770025255
2r1T6xGTVaNAqBoPH4lZEE,Waste It On Me (feat. BTS),Steve Aoki,temp/temp_2r1T6xGTVaNAqBoPH4lZEE.txt,temp/temp_features_2r1T6xGTVaNAqBoPH4lZEE.csv,0.07147368421052631,0.08607157894736842,0.5944170854990319,0.5931287529856529,0.33294538485477915,0.33960016596651066
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,temp/temp_2xLMifQCjDGFmkHkpNLD9h.txt,temp/temp_features_2xLMifQCjDGFmkHkpNLD9h.csv,0.09093662864385296,0.11732699619771861,0.4994797693048041,0.5455165459709826,0.29520819897432854,0.3314217710843506
2hnxrRNzF74mdDzpQZQukQ,There's No Way (feat. Julia Michaels),Lauv,temp/temp_2hnxrRNzF74mdDzpQZQukQ.txt,temp/temp_features_2hnxrRNzF74mdDzpQZQukQ.csv,0.1099763779527559,0.1673753280839895,0.5658793270892594,0.5847246825604645,0.33792785252100765,0.376050005322227
2GGMabyHXnJmjY6CXhhB2e,Money,Cardi B,temp/temp_2GGMabyHXnJmjY6CXhhB2e.txt,temp/temp_features_2GGMabyHXnJmjY6CXhhB2e.csv,0.1268653846153846,0.14324679487179487,0.4808276790936631,0.5274242361939272,0.3038465318545238,0.335335515532861
5aXgz1oKK8Q9z9xvTmSnrO,Topanga,Trippie Redd,temp/temp_5aXgz1oKK8Q9z9xvTmSnrO.txt,temp/temp_features_5aXgz1oKK8Q9z9xvTmSnrO.csv,0.09188826815642459,0.08205865921787708,0.6218564745855881,0.6430293832837827,0.35687237137100636,0.36254402125082985
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,temp/temp_2dpaYNEQHiRxtZbfNsse99.txt,temp/temp_features_2dpaYNEQHiRxtZbfNsse99.csv,0.1547415143603133,0.22104438642297647,0.5092399384176756,0.552817133557147,0.3319907263889944,0.38693075999006177
5AdnkoZJuRJCYqYBIzSqFb,Light On,Maggie Rogers,temp/temp_5AdnkoZJuRJCYqYBIzSqFb.txt,temp/temp_features_5AdnkoZJuRJCYqYBIzSqFb.csv,0.09861852861035422,0.15235694822888282,0.6313584831707298,0.6130895880073348,0.36498850589054205,0.3827232681181088
05mAIVLkIWc2d1UBYZBCp8,1999,Charli XCX,,temp/temp_features_05mAIVLkIWc2d1UBYZBCp8.csv,,,0.6691137462841319,0.6753313648801873,0.6691137462841319,0.6753313648801873
0Dn40gxVCMo5TkgS8Ik18Q,Falling Down - Bonus Track,Lil Peep,,temp/temp_features_0Dn40gxVCMo5TkgS8Ik18Q.csv,,,0.6339416865374301,0.6105819854134675,0.6339416865374301,0.6105819854134675
4J4zx8xGJpuGndrVc06KaT,Diamond Heart,Alan Walker,temp/temp_4J4zx8xGJpuGndrVc06KaT.txt,temp/temp_features_4J4zx8xGJpuGndrVc06KaT.csv,0.15697922077922077,0.19752727272727272,0.6736874634965657,0.6842028915363862,0.41533334213789325,0.4408650821318295
7l3E7lcozEodtVsSTCkcaA,ZEZE (feat. Travis Scott & Offset),Kodak Black,temp/temp_7l3E7lcozEodtVsSTCkcaA.txt,temp/temp_features_7l3E7lcozEodtVsSTCkcaA.csv,0.09605,0.11023,0.4690125775246058,0.5145296628307303,0.2825312887623029,0.3123798314153652
1tT55K6VEyO6XFDxK4lDQe,In My Head,Peter Manos,,temp/temp_features_1tT55K6VEyO6XFDxK4lDQe.csv,,,0.3995561534080343,0.4401795709309898,0.3995561534080343,0.4401795709309898
1ArLnG0bHaHPXqf08sEKM0,Consequences - orchestra,Camila Cabello,,temp/temp_features_1ArLnG0bHaHPXqf08sEKM0.csv,,,0.49117537590667604,0.5560986601655658,0.49117537590667604,0.5560986601655658
6r05pfZigq7Arg25pi2vRm,Checklist (with Calvin Harris) (feat. WizKid),Normani,,temp/temp_features_6r05pfZigq7Arg25pi2vRm.csv,,,0.5540646366806541,0.5904160626933826,0.5540646366806541,0.5904160626933826
3ji4bcQugJj5B6NRGYDNwP,Thursday,Jess Glynne,temp/temp_3ji4bcQugJj5B6NRGYDNwP.txt,temp/temp_features_3ji4bcQugJj5B6NRGYDNwP.csv,0.14228042328042326,0.1795185185185185,0.4775220294575032,0.5631848180331674,0.3099012263689632,0.371351668275843
2jZIfoe48eUeOEnP9Ho4h2,No One Compares To You,Jack & Jack,temp/temp_2jZIfoe48eUeOEnP9Ho4h2.txt,temp/temp_features_2jZIfoe48eUeOEnP9Ho4h2.csv,0.08828571428571429,0.14574206349206348,0.5686944367029343,0.5917788873040647,0.3284900754943243,0.3687604753980641
0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,Gucci Mane,,temp/temp_features_0QIjsbm2fh1cJ45XO9eGqq.csv,,,0.5354495735097267,0.5803707204683919,0.5354495735097267,0.5803707204683919
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,Lady Gaga,temp/temp_2rbDhOo9Fh61Bbu23T2qCk.txt,temp/temp_features_2rbDhOo9Fh61Bbu23T2qCk.csv,0.13294285714285714,0.20273333333333335,0.6335559611580514,0.6377143501402467,0.38324940915045425,0.42022384173679
5qHirGR7M9tdm6C17DlzSY,REEL IT IN,Aminé,,temp/temp_features_5qHirGR7M9tdm6C17DlzSY.csv,,,0.521239157002867,0.5302627474502342,0.521239157002867,0.5302627474502342
2JqnpexlO9dmvjUMCaLCLJ,Love Someone,Lukas Graham,temp/temp_2JqnpexlO9dmvjUMCaLCLJ.txt,temp/temp_features_2JqnpexlO9dmvjUMCaLCLJ.csv,0.15468840579710144,0.21870289855072464,0.5261346010552,0.5525153432952093,0.34041150342615073,0.385609120922967
1wsLHgXJ4SKIfd5ePSX1hD,Polaroid,Jonas Blue,temp/temp_1wsLHgXJ4SKIfd5ePSX1hD.txt,temp/temp_features_1wsLHgXJ4SKIfd5ePSX1hD.csv,0.09915759312320917,0.14963610315186246,0.6298405673674383,0.6629425890898539,0.36449908024532374,0.4062893461208582
3EPXxR3ImUwfayaurPi3cm,Be Alright,Dean Lewis,temp/temp_3EPXxR3ImUwfayaurPi3cm.txt,temp/temp_features_3EPXxR3ImUwfayaurPi3cm.csv,0.1261307901907357,0.18838419618528612,0.5099996881759118,0.5378063399868661,0.31806523918332374,0.3630952680860761
04MLEeAMuV9IlHEsD8vF6A,No Stylist,French Montana,,temp/temp_features_04MLEeAMuV9IlHEsD8vF6A.csv,,,0.5043776226805017,0.5226985116941836,0.5043776226805017,0.5226985116941836
33zcmmElV1YbRZe57biUjg,Celoso,Lele Pons,,temp/temp_features_33zcmmElV1YbRZe57biUjg.csv,,,0.4821915398462515,0.5348988925153411,0.4821915398462515,0.5348988925153411
1XXl9pl7ObojHbyJetY75n,A Simple Song,Chris Stapleton,temp/temp_1XXl9pl7ObojHbyJetY75n.txt,temp/temp_features_1XXl9pl7ObojHbyJetY75n.csv,0.12312264150943397,0.18549528301886792,0.3467952246935524,0.3997793418530846,0.23495893310149318,0.29263731243597624
2yWTcrs09YISrT3yXZB5Bp,Cheap Suit,Jeffrey Foucault,temp/temp_2yWTcrs09YISrT3yXZB5Bp.txt,temp/temp_features_2yWTcrs09YISrT3yXZB5Bp.csv,0.12198192771084337,0.18870481927710842,0.26986851796430567,0.3912969933681446,0.19592522283757452,0.29000090632262654
4xI1VwZa8u3ymeS8hsHKed,Autumn Town Leaves,Iron & Wine,,temp/temp_features_4xI1VwZa8u3ymeS8hsHKed.csv,,,0.4010916723799063,0.5238539116079788,0.4010916723799063,0.5238539116079788
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,Lord Huron,temp/temp_0QZ5yyl6B6utIWkxeBDxQN.txt,temp/temp_features_0QZ5yyl6B6utIWkxeBDxQN.csv,0.09516959064327483,0.11590643274853801,0.5360857093566714,0.6225567811392552,0.3156276499999731,0.36923160694389656
3oyMHCAAcnWFdcGuVgwfhd,A Woman Like You,Lee Brice,temp/temp_3oyMHCAAcnWFdcGuVgwfhd.txt,temp/temp_features_3oyMHCAAcnWFdcGuVgwfhd.csv,0.1260560471976401,0.1906755162241888,0.5538505868574838,0.566834258518908,0.33995331702756193,0.3787548873715484
3tsrOkDmaJg60XJMkEmYpp,Golden (Acoustic),Becca Mancari,temp/temp_3tsrOkDmaJg60XJMkEmYpp.txt,temp/temp_features_3tsrOkDmaJg60XJMkEmYpp.csv,0.13566145833333332,0.18490625,0.44648841114581395,0.4535971831508352,0.29107493473957363,0.3192517165754176
1iepnn71MidOJZ7Y3vfgE4,People Change,Mipso,temp/temp_1iepnn71MidOJZ7Y3vfgE4.txt,temp/temp_features_1iepnn71MidOJZ7Y3vfgE4.csv,0.1582294117647059,0.23786470588235292,0.45399508340876904,0.4809953794921126,0.3061122475867375,0.3594300426872328
4e6dpHanuFVUxou9bKkLDN,Without A Word,Sara Watkins,temp/temp_4e6dpHanuFVUxou9bKkLDN.txt,temp/temp_features_4e6dpHanuFVUxou9bKkLDN.csv,0.1266196319018405,0.16379141104294478,0.48513336049956424,0.5799951772384401,0.30587649620070234,0.37189329414069244
4OrDWRw53W0rp1Lps64OFb,Where You Are - Acoustic,Tenille Townes,,temp/temp_features_4OrDWRw53W0rp1Lps64OFb.csv,,,0.5461602868792541,0.5145496663025246,0.5461602868792541,0.5145496663025246
34mkhE894kcrgBCYnnQBaw,It’s Your Move,Josh Kelley,,temp/temp_features_34mkhE894kcrgBCYnnQBaw.csv,,,0.6634787164109194,0.6456826988549308,0.6634787164109194,0.6456826988549308
0QnOPRxrCRLeRUEJKqecaG,Miles Away,Krysta Nick,,temp/temp_features_0QnOPRxrCRLeRUEJKqecaG.csv,,,0.5812420478410099,0.5924536453516,0.5812420478410099,0.5924536453516
5ZZtNu0ZMABs6Jwomk8isG,The Captain's Daughter (Johnny Cash: Forever Words),Alison Krauss & Union Station,,temp/temp_features_5ZZtNu0ZMABs6Jwomk8isG.csv,,,0.43649311820994185,0.46488613088676645,0.43649311820994185,0.46488613088676645
6ET9kf9riLETWs9lePUEAI,Slow Burn,Kacey Musgraves,temp/temp_6ET9kf9riLETWs9lePUEAI.txt,temp/temp_features_6ET9kf9riLETWs9lePUEAI.csv,0.11664736842105261,0.14766842105263156,0.6358390559071602,0.6401781364662762,0.3762432121641064,0.3939232787594539
7yPmspgKN5MPOVlyAWFtsa,This Town Still Talks About You,Natalie Hemby,,temp/temp_features_7yPmspgKN5MPOVlyAWFtsa.csv,,,0.6317822950509229,0.666103877638281,0.6317822950509229,0.666103877638281
69tc1oIVQ5lXRd2lHX1PF0,Damage,Rachel Wammack,,temp/temp_features_69tc1oIVQ5lXRd2lHX1PF0.csv,,,0.6267026794834246,0.6183436876458099,0.6267026794834246,0.6183436876458099
52GgfKWo0tdSbq8trVhgUj,Nothing Like You,Dave Barnes,,temp/temp_features_52GgfKWo0tdSbq8trVhgUj.csv,,,0.556304267007945,0.5991167288837597,0.556304267007945,0.5991167288837597
0BYkrYRN04xUnZG53OHfGS,Time Is Cold (Coffee House Version),Jeffrey East,,temp/temp_features_0BYkrYRN04xUnZG53OHfGS.csv,,,0.39302380102600687,0.44537786126987355,0.39302380102600687,0.44537786126987355
1t2hJFgJyUPD2crOafMUEk,You and Tequila,Kenny Chesney,temp/temp_1t2hJFgJyUPD2crOafMUEk.txt,temp/temp_features_1t2hJFgJyUPD2crOafMUEk.csv,0.15189304812834226,0.1579893048128342,0.4928799686117442,0.5694702726197366,0.32238650837004323,0.3637297887162854
0v2pLTGuWGYaDr3bHyHOnV,What If I Stay,Chris Young,temp/temp_0v2pLTGuWGYaDr3bHyHOnV.txt,temp/temp_features_0v2pLTGuWGYaDr3bHyHOnV.csv,0.09249615384615387,0.16091923076923076,0.6285632998800909,0.6804093621254376,0.36052972686312235,0.42066429644733416
4JBKYoKFRijmnOEfFiNhbM,Forever Girl,Jon Langston,temp/temp_4JBKYoKFRijmnOEfFiNhbM.txt,temp/temp_features_4JBKYoKFRijmnOEfFiNhbM.csv,0.14553586497890295,0.23989451476793247,0.5879164155670662,0.6009930995260935,0.36672614027298456,0.42044380714701296
250RLekaiL1q9qZer975Eg,If We Were Vampires,Jason Isbell and the 400 Unit,temp/temp_250RLekaiL1q9qZer975Eg.txt,temp/temp_features_250RLekaiL1q9qZer975Eg.csv,0.1588530612244898,0.24921632653061226,0.3992924793949685,0.4994138132704765,0.27907277030972916,0.3743150699005444
5aDK0TurEtiedVdT0a6k9a,Whiskey And You,Chris Stapleton,temp/temp_5aDK0TurEtiedVdT0a6k9a.txt,temp/temp_features_5aDK0TurEtiedVdT0a6k9a.csv,0.14121929824561402,0.14726754385964913,0.44787239307137205,0.4829235176696769,0.29454584565849307,0.315095530764663
16lPj311efhVdbwPrTgTHl,Life Is Confusing,Langhorne Slim,temp/temp_16lPj311efhVdbwPrTgTHl.txt,temp/temp_features_16lPj311efhVdbwPrTgTHl.csv,0.16586805555555553,0.13259027777777777,0.3752795198611142,0.4673777706932334,0.27057378770833485,0.2999840242355056
43bkejyRlzXjVGKvXYLHzg,Coming Down the Mountain,Mipso,temp/temp_43bkejyRlzXjVGKvXYLHzg.txt,temp/temp_features_43bkejyRlzXjVGKvXYLHzg.csv,0.10357627118644068,0.1815889830508475,0.49012859600645386,0.5360365945053709,0.29685243359644725,0.3588127887781092
3dcKeqFzK4ocPxJnVpXzID,1979,High Dive Heart,,temp/temp_features_3dcKeqFzK4ocPxJnVpXzID.csv,,,0.6527255045598179,0.6197904122237612,0.6527255045598179,0.6197904122237612
066cqT6M3IbNRaQUFnXcMF,Diamonds,Sarah Darling,,temp/temp_features_066cqT6M3IbNRaQUFnXcMF.csv,,,0.5389388693406434,0.5835362248412926,0.5389388693406434,0.5835362248412926
31dEh1OeZGv61RZzDIixue,The Love That We Need,Hayes Carll,,temp/temp_features_31dEh1OeZGv61RZzDIixue.csv,,,0.4563007402315825,0.5001181373313183,0.4563007402315825,0.5001181373313183
3rGe3ed1wHvPNgAlwNO686,Swimming Alone,Liz Rose,,temp/temp_features_3rGe3ed1wHvPNgAlwNO686.csv,,,0.577375162795704,0.6284600116911249,0.577375162795704,0.6284600116911249
1pLbS57mLE8iG4njSQIAtX,Wait Up For Me,Amos Lee,temp/temp_1pLbS57mLE8iG4njSQIAtX.txt,temp/temp_features_1pLbS57mLE8iG4njSQIAtX.csv,0.13339795918367345,0.21596938775510202,0.46141701108818844,0.4891048271224734,0.29740748513593096,0.3525371074387877
2uMYugZ7YrpPV5IvrdmNVt,Body On Body (Johnny Cash: Forever Words),Jewel,,temp/temp_features_2uMYugZ7YrpPV5IvrdmNVt.csv,,,0.4495054629225689,0.4682683706131687,0.4495054629225689,0.4682683706131687
5GOLGi2dpY0oYwVmxZXjL8,Woulda Left Me Too,Ryan Griffin,,temp/temp_features_5GOLGi2dpY0oYwVmxZXjL8.csv,,,0.5767009476186865,0.5725088241024889,0.5767009476186865,0.5725088241024889
1JtvwshkJMxfm4oRhJp93C,The Time I've Wasted,Lori McKenna,temp/temp_1JtvwshkJMxfm4oRhJp93C.txt,temp/temp_features_1JtvwshkJMxfm4oRhJp93C.csv,0.11990232558139535,0.15806976744186046,0.5025015673364205,0.5355538749711448,0.3112019464589079,0.34681182120650267
02eD9ymfJOJOhM97HYp5R9,The House That Built Me,Miranda Lambert,temp/temp_02eD9ymfJOJOhM97HYp5R9.txt,temp/temp_features_02eD9ymfJOJOhM97HYp5R9.csv,0.11017508417508418,0.17497306397306397,0.5440881815963066,0.6313930919919639,0.32713163288569536,0.40318307798251396
2ViAxjf9aF2pgfpXYy0AwM,Just In Case - Acoustic,Catherine McGrath,,temp/temp_features_2ViAxjf9aF2pgfpXYy0AwM.csv,,,0.5317114356367323,0.5641927284113083,0.5317114356367323,0.5641927284113083
4dQCgHy1lh24ystDObYXDB,Giving It All (To You),Haley & Michaels,,temp/temp_features_4dQCgHy1lh24ystDObYXDB.csv,,,0.5530805686506346,0.5622223838677809,0.5530805686506346,0.5622223838677809
4ftYIbHbKSVZWyrveFHCNu,Call It Dreaming,Iron & Wine,temp/temp_4ftYIbHbKSVZWyrveFHCNu.txt,temp/temp_features_4ftYIbHbKSVZWyrveFHCNu.csv,0.16598206278026906,0.2318520179372197,0.605713051966454,0.5981397063947013,0.3858475573733615,0.4149958621659605
3d5pGFm3KHRIfpP9hG80jr,Blacked Out,Chris Young,temp/temp_3d5pGFm3KHRIfpP9hG80jr.txt,temp/temp_features_3d5pGFm3KHRIfpP9hG80jr.csv,0.10365420560747664,0.1462663551401869,0.47845701871780055,0.5109882803855328,0.2910556121626386,0.32862731776285986
3sZpfLcumDW0henSU6wbie,Mona Lisas And Mad Hatters,Maren Morris,,temp/temp_features_3sZpfLcumDW0henSU6wbie.csv,,,0.5931561624043611,0.6530240194809815,0.5931561624043611,0.6530240194809815
6arLnfArtdWKOcCYzDd4rS,Nowhere Fast,Old Dominion,temp/temp_6arLnfArtdWKOcCYzDd4rS.txt,temp/temp_features_6arLnfArtdWKOcCYzDd4rS.csv,0.12540265486725666,0.1855929203539823,0.5516525340729869,0.5910564414544512,0.33852759447012176,0.3883246809042168
1yyXmUb99vQ1BI1ee9gkFh,Brighter Shade of Blue,Jordan DePaul,,temp/temp_features_1yyXmUb99vQ1BI1ee9gkFh.csv,,,0.5354898427618897,0.5176121492471284,0.5354898427618897,0.5176121492471284
35OJNr3isVPPjiW02Km3bp,Streets of Aberdeen,Hellbound Glory,,temp/temp_features_35OJNr3isVPPjiW02Km3bp.csv,,,0.525431922640639,0.5704114371414827,0.525431922640639,0.5704114371414827
0TMlTIEl0dBEZ5zVsFsWmx,When The Right One Comes Along,Nashville Cast,,temp/temp_features_0TMlTIEl0dBEZ5zVsFsWmx.csv,,,0.3957842801186905,0.4725855721438271,0.3957842801186905,0.4725855721438271
2VIPU72L6tIR4w8J8ap6Kp,Mercy,Brett Young,temp/temp_2VIPU72L6tIR4w8J8ap6Kp.txt,temp/temp_features_2VIPU72L6tIR4w8J8ap6Kp.csv,0.10597402597402597,0.1528225108225108,0.5107943072092741,0.5570306794202576,0.30838416659165,0.35492659512138425
1B17jo7XD3lJ9AtrdE9kUd,She Don't Love You,Eric Paslay,temp/temp_1B17jo7XD3lJ9AtrdE9kUd.txt,temp/temp_features_1B17jo7XD3lJ9AtrdE9kUd.csv,0.11755924170616115,0.18985308056872038,0.6505295980632129,0.6506370072510973,0.384044419884687,0.42024504390990886
4jXgMitWFlkmXbKXUbyubz,Pieces of You,Chris Carmack,,temp/temp_features_4jXgMitWFlkmXbKXUbyubz.csv,,,0.5376461539116136,0.5963960375548275,0.5376461539116136,0.5963960375548275
59iILyv9x7MA04G1VDA5Q8,Singing to Me,Parker Millsap,temp/temp_59iILyv9x7MA04G1VDA5Q8.txt,temp/temp_features_59iILyv9x7MA04G1VDA5Q8.csv,0.10207428571428573,0.10565714285714285,0.5565101937048008,0.5814817130010194,0.32929223970954324,0.34356942792908113
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),Billie Eilish,,temp/temp_features_0u2P5u6lvoDfwTYjAADbn4.csv,,,0.4938989545327491,0.5059485989716589,0.4938989545327491,0.5059485989716589
2GwShNdcJHDLEkGO4L34lF,Back To You,The Mayries,,temp/temp_features_2GwShNdcJHDLEkGO4L34lF.csv,,,0.4719375827397988,0.4601933842017769,0.4719375827397988,0.4601933842017769
2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,temp/temp_2RttW7RAu5nOAfq6YFvApB.txt,temp/temp_features_2RttW7RAu5nOAfq6YFvApB.csv,0.1264448275862069,0.18033793103448276,0.6178504301379248,0.6583225411858027,0.37214762886206587,0.41933023611014275
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott,temp/temp_69vToJ9BMbbLlFZo7k7A7B.txt,temp/temp_features_69vToJ9BMbbLlFZo7k7A7B.csv,0.13152488687782804,0.16584615384615384,0.6375006364492983,0.6138077240630664,0.3845127616635632,0.3898269389546101
7krbSH3rd8lhIZvuzTV3Bl,Naked,James Arthur,temp/temp_7krbSH3rd8lhIZvuzTV3Bl.txt,temp/temp_features_7krbSH3rd8lhIZvuzTV3Bl.csv,0.12795744680851065,0.14914285714285713,0.6296810455511941,0.6680621879426608,0.37881924617985235,0.408602522542759
7sTtHHrD0zDpmzQzH3zegz,Consequences,Camila Cabello,temp/temp_7sTtHHrD0zDpmzQzH3zegz.txt,temp/temp_features_7sTtHHrD0zDpmzQzH3zegz.csv,0.10241618497109826,0.1426242774566474,0.4679043810547061,0.48898858877738405,0.2851602830129022,0.31580643311701573
4VuS959DSpr82t3qBqCrWG,Supermarket Flowers,Ed Sheeran,temp/temp_4VuS959DSpr82t3qBqCrWG.txt,temp/temp_features_4VuS959DSpr82t3qBqCrWG.csv,0.10230627306273063,0.166830258302583,0.512535735729555,0.5121592097879536,0.30742100439614284,0.3394947340452683
0VhgEqMTNZwYL1ARDLLNCX,Can I Be Him,James Arthur,temp/temp_0VhgEqMTNZwYL1ARDLLNCX.txt,temp/temp_features_0VhgEqMTNZwYL1ARDLLNCX.csv,0.1043342939481268,0.1683054755043228,0.5098246768489361,0.5050846022648933,0.3070794853985314,0.33669503888460806
5Cv1xqpyciZZuHHR7xr2l0,the broken hearts club,gnash,,temp/temp_features_5Cv1xqpyciZZuHHR7xr2l0.csv,,,0.5109757914010685,0.527504986957523,0.5109757914010685,0.527504986957523
0jllH0usRFD4LJkJnGK9Lf,Complicated,Olivia O'Brien,,temp/temp_features_0jllH0usRFD4LJkJnGK9Lf.csv,,,0.3950408873638873,0.4942848838342826,0.3950408873638873,0.4942848838342826
5GT8b1dFaOWFF5twsmSOYx,The Best You Had,Nina Nesbitt,temp/temp_5GT8b1dFaOWFF5twsmSOYx.txt,temp/temp_features_5GT8b1dFaOWFF5twsmSOYx.csv,0.07033841463414633,0.07872560975609756,0.5909973052598534,0.6156459628653008,0.3306678599469999,0.3471857863106992
